name,latitude,longitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
trondheim,63.50,10.39,50,15,2720,50,wide,1,"[datetime.datetime(2025, 1, 21, 19, 57, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 44, 5, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 19, 58, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 41, tzinfo=datetime.timezone.utc)]"
buvika,63.32,10.18,40,20,2710,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 33, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 47, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 37, tzinfo=datetime.timezone.utc)]"
trondheimnorth,63.54,10.32,30,20,2709,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 46, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 56, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 25, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 42, 54, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 48, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 59, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 17, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 26, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 59, 44, tzinfo=datetime.timezone.utc)]"
frohavet,63.70,9.34,40,20,2700,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 36, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 48, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 44, 8, tzinfo=datetime.timezone.utc)]"
ingdalen,63.55,9.84,30,20,2690,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 46, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 56, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 25, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 42, 56, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 48, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 59, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 17, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 26, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 59, 49, tzinfo=datetime.timezone.utc)]"
lakeanoya,63.21,10.18,30,20,2670,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 46, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 56, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 25, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 42, 59, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 48, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 17, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 26, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 59, 42, tzinfo=datetime.timezone.utc)]"
stjordal,63.46,10.87,40,20,2661,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 25, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 47, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 34, tzinfo=datetime.timezone.utc)]"
frohavetnorth,64.09,9.43,40,20,2650,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 30, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 47, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 44, 1, tzinfo=datetime.timezone.utc)]"
frohavetwest,64.03,8.50,40,20,2640,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 59, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 42, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 48, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 59, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 53, tzinfo=datetime.timezone.utc)]"
frohavetsouth,63.11,6.50,40,20,2630,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 46, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 48, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 59, 32, tzinfo=datetime.timezone.utc)]"
